"filename", "language", "JSON with Comments", "JavaScript", "JSON", "MS SQL", "TypeScript", "Python", "vue", "HTML", "Log", "SCSS", "Ini", "comment", "blank", "total"
"c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\users.py", "Python", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 12, 41
"c:\Users\yjq\Desktop\myproject\project_back\app\core\config.py", "Python", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\yjq\Desktop\myproject\project_back\app\core\error_handlers.py", "Python", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 7, 63
"c:\Users\yjq\Desktop\myproject\project_back\app\core\exceptions.py", "Python", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\yjq\Desktop\myproject\project_back\app\core\security.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\yjq\Desktop\myproject\project_back\app\db\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yjq\Desktop\myproject\project_back\app\db\base.py", "Python", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\yjq\Desktop\myproject\project_back\app\db\session.py", "Python", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\yjq\Desktop\myproject\project_back\app\main.py", "Python", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 8, 50
"c:\Users\yjq\Desktop\myproject\project_back\app\models\__init__.py", "Python", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\yjq\Desktop\myproject\project_back\app\models\error_book.py", "Python", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\yjq\Desktop\myproject\project_back\app\models\exam_attempt.py", "Python", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\yjq\Desktop\myproject\project_back\app\models\paper.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\yjq\Desktop\myproject\project_back\app\models\paper_question.py", "Python", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yjq\Desktop\myproject\project_back\app\models\question.py", "Python", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\yjq\Desktop\myproject\project_back\app\models\question_version.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\yjq\Desktop\myproject\project_back\app\models\role.py", "Python", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\yjq\Desktop\myproject\project_back\app\models\user.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\yjq\Desktop\myproject\project_back\app\models\user_answer.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\yjq\Desktop\myproject\project_back\app\models\user_role.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\yjq\Desktop\myproject\project_back\app\models_init_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yjq\Desktop\myproject\project_back\app\schemas\error_book.py", "Python", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\yjq\Desktop\myproject\project_back\app\schemas\practice.py", "Python", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\yjq\Desktop\myproject\project_back\app\schemas\user.py", "Python", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 15, 84
"c:\Users\yjq\Desktop\myproject\project_back\app\schemas_init_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yjq\Desktop\myproject\project_back\app\services\auth_service.py", "Python", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\yjq\Desktop\myproject\project_back\app\services\error_book_service.py", "Python", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 5, 41
"c:\Users\yjq\Desktop\myproject\project_back\app\services\practice_service.py", "Python", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 5, 33, 247
"c:\Users\yjq\Desktop\myproject\project_back\app\services\user_service.py", "Python", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 7, 33, 213
"c:\Users\yjq\Desktop\myproject\project_back\logs\app.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 866, 0, 0, 0, 19, 885
"c:\Users\yjq\Desktop\myproject\project_back\sql\00_init.sql", "MS SQL", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 24, 18, 232
"c:\Users\yjq\Desktop\myproject\project_back\sql\create_database.sql", "MS SQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 11, 3, 17
"c:\Users\yjq\Desktop\myproject\project_back\sql\seed_practice.sql", "MS SQL", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 10, 52
"Total", "-", 26, 21, 11210, 228, 129, 1127, 527, 18, 866, 37, 121, 154, 422, 14886
